Date,User_ID,Food_Item,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml)
2024-02-05,1984,Pasta,Grains,563,46.0,19.4,34.3,6.6,23.2,570,235,Lunch,265
2024-08-06,3093,Cookies,Snacks,566,45.4,8.8,44.5,4.8,28.2,527,166,Lunch,655
2024-12-11,3192,Carrot,Vegetables,315,9.1,67.7,39.1,3.8,20.8,612,227,Snack,828
2024-09-28,718,Butter,Dairy,216,11.5,24.5,2.6,9.3,1.7,369,85,Lunch,143
2024-07-03,5420,Orange,Fruits,589,48.4,67.0,24.3,5.9,9.5,159,131,Snack,653
2024-07-29,9029,Orange,Fruits,381,49.6,7.8,37.7,4.9,1.5,85,185,Lunch,899
2024-05-16,8421,Potato,Vegetables,161,30.4,72.8,31.4,7.3,38.4,934,62,Snack,569
2024-12-27,1621,Chicken Breast,Meat,57,22.3,10.4,14.3,10.0,11.1,935,75,Lunch,320
2024-04-11,8743,Oats,Grains,499,36.6,74.4,34.6,8.8,18.0,976,140,Snack,487
2024-04-12,8792,Orange Juice,Beverages,412,41.9,5.5,14.4,4.5,27.4,816,8,Dinner,179
2024-05-02,6232,Coffee,Beverages,575,38.4,94.0,1.1,4.7,45.4,343,72,Dinner,323
2024-10-31,8960,Cookies,Snacks,362,47.2,47.7,23.9,1.7,17.2,174,211,Snack,130
2024-05-24,6189,Strawberry,Fruits,492,34.3,27.1,16.6,8.4,45.6,950,297,Lunch,593
2024-03-05,4968,Pasta,Grains,470,16.2,51.4,24.2,6.1,31.0,865,144,Snack,912
2024-12-13,5364,Butter,Dairy,509,45.5,72.6,40.7,9.2,39.5,311,115,Lunch,734
2024-04-15,9092,Banana,Fruits,296,6.8,20.6,11.5,1.2,39.8,107,250,Lunch,709
2024-12-02,9137,Water,Beverages,181,6.6,12.9,45.2,2.1,33.0,98,86,Snack,234
2024-08-27,6006,Orange,Fruits,572,40.1,49.7,14.9,2.6,40.3,208,176,Breakfast,955
2024-10-15,2461,Milkshake,Beverages,507,48.2,79.6,15.5,9.5,8.5,530,293,Lunch,306
2024-12-16,1417,Grapes,Fruits,346,36.7,47.9,34.7,4.0,34.9,107,288,Dinner,639
2024-09-26,5188,Potato,Vegetables,537,44.4,28.2,17.5,7.0,30.7,597,99,Dinner,122
2024-09-17,3084,Green Tea,Beverages,425,23.1,30.9,9.2,8.2,36.4,201,145,Lunch,101
2024-11-21,1207,Nuts,Snacks,560,36.1,15.1,12.3,8.0,28.1,530,18,Dinner,853
2024-10-28,310,Milkshake,Beverages,148,39.3,67.7,18.2,4.0,42.6,469,230,Dinner,935
2024-11-14,5542,Nuts,Snacks,322,36.0,56.7,21.1,0.9,31.1,645,236,Lunch,362
2024-05-25,42,Cookies,Snacks,240,21.4,78.0,14.2,9.0,1.1,17,243,Breakfast,327
2024-05-19,1233,Yogurt,Dairy,144,45.2,42.2,1.5,8.3,41.1,122,298,Dinner,859
2024-04-29,9007,Chicken Breast,Meat,450,18.1,14.7,25.8,9.7,6.7,761,276,Dinner,539
2024-04-21,1910,Bread,Grains,467,4.5,95.5,49.5,8.9,28.9,577,273,Dinner,891
2024-07-06,1688,Nuts,Snacks,309,22.2,7.9,35.6,9.7,41.2,38,271,Dinner,468
2024-05-25,5799,Coffee,Beverages,594,15.2,21.0,2.0,4.1,39.2,800,270,Lunch,841
2024-03-10,5976,Rice,Grains,527,35.9,52.3,35.1,2.7,34.0,783,240,Snack,646
2024-09-30,8628,Bread,Grains,304,18.6,75.8,49.8,3.6,10.8,817,114,Snack,927
2024-07-18,9881,Milk,Dairy,235,12.4,83.2,47.4,6.6,33.0,468,37,Lunch,383
2024-01-24,4624,Milk,Dairy,176,36.5,70.7,14.9,3.0,41.7,370,23,Dinner,589
2024-10-02,5071,Carrot,Vegetables,484,13.6,69.1,30.8,3.6,10.5,373,300,Dinner,888
2024-03-05,6574,Butter,Dairy,131,34.6,12.5,17.0,3.8,31.7,704,174,Dinner,667
2024-05-25,5462,Strawberry,Fruits,543,29.7,67.8,7.0,3.6,14.7,835,152,Dinner,423
2024-05-28,7124,Beef Steak,Meat,89,2.4,11.3,18.7,9.4,10.4,885,102,Snack,774
2024-02-14,4675,Pork Chop,Meat,359,10.8,54.5,8.7,4.3,46.7,712,246,Dinner,775
2024-04-16,8598,Beef Steak,Meat,342,18.9,9.8,5.0,4.0,22.9,907,109,Snack,275
2024-07-24,4017,Bread,Grains,50,18.4,11.1,29.6,2.8,22.1,446,260,Breakfast,189
2024-04-26,5127,Salmon,Meat,403,47.1,45.8,38.6,0.7,23.3,259,279,Dinner,694
2024-02-05,273,Cheese,Dairy,267,43.6,16.8,17.4,5.3,8.5,266,140,Breakfast,979
2024-01-28,1766,Beef Steak,Meat,537,50.0,96.3,23.6,5.4,42.6,142,63,Dinner,831
2024-07-25,6214,Potato,Vegetables,519,14.5,38.5,20.7,1.0,18.4,889,215,Lunch,273
2024-02-11,9176,Salmon,Meat,168,34.5,57.5,9.2,4.2,43.7,108,179,Lunch,826
2024-05-27,8993,Coffee,Beverages,122,17.1,70.4,21.0,6.4,5.8,196,189,Lunch,865
2024-03-31,2362,Chocolate,Snacks,153,46.7,91.0,45.0,7.0,49.7,494,38,Lunch,751
2024-06-13,2221,Carrot,Vegetables,263,33.4,9.3,17.1,7.8,25.4,17,93,Dinner,755
2024-04-04,3745,Spinach,Vegetables,253,11.5,43.5,21.7,6.3,45.4,335,183,Breakfast,214
2024-03-19,9749,Carrot,Vegetables,488,4.6,68.8,47.2,7.1,26.1,85,240,Lunch,567
2024-03-11,151,Potato,Vegetables,565,48.7,54.6,2.9,0.4,7.0,388,96,Snack,169
2024-02-29,4399,Grapes,Fruits,179,1.4,47.7,20.3,4.8,27.0,595,292,Lunch,209
2024-06-13,8437,Cheese,Dairy,213,17.3,35.9,7.1,4.1,43.6,12,53,Breakfast,247
2024-01-28,9206,Broccoli,Vegetables,355,44.5,70.5,37.4,8.3,27.1,36,295,Snack,689
2024-05-12,254,Nuts,Snacks,178,28.0,64.6,35.4,8.3,35.3,672,230,Dinner,518
2024-04-05,2552,Bread,Grains,530,36.3,58.0,32.3,8.4,21.7,93,49,Breakfast,288
2024-01-30,2368,Water,Beverages,417,7.7,97.6,39.2,8.8,5.7,292,220,Dinner,193
2024-03-13,4274,Chips,Snacks,365,29.1,67.1,28.2,4.8,41.3,810,4,Dinner,652
2024-04-01,1762,Banana,Fruits,140,19.1,38.6,30.2,7.1,12.6,766,245,Dinner,996
2024-09-25,932,Chocolate,Snacks,106,38.9,16.9,33.7,3.4,32.7,589,280,Dinner,718
2024-04-29,3729,Cheese,Dairy,410,23.9,51.4,16.1,2.2,14.5,783,215,Lunch,817
2024-01-17,6306,Paneer,Dairy,223,30.1,20.9,15.6,6.7,18.0,896,198,Dinner,996
2024-12-03,4158,Cheese,Dairy,160,41.1,34.7,14.7,4.6,8.6,341,249,Breakfast,931
2024-04-12,7568,Green Tea,Beverages,224,22.3,28.7,10.1,3.8,25.7,656,229,Snack,350
2024-07-18,3295,Chocolate,Snacks,336,40.8,71.1,46.9,3.5,37.1,646,43,Breakfast,405
2024-04-14,9850,Broccoli,Vegetables,343,41.8,62.8,19.3,4.2,33.0,666,266,Snack,326
2024-09-03,5438,Orange,Fruits,454,43.4,82.9,5.8,7.2,14.7,440,125,Snack,970
2024-08-20,9917,Bread,Grains,199,6.2,52.4,9.0,6.3,1.1,676,246,Snack,454
2024-09-09,4750,Potato,Vegetables,444,28.6,77.5,9.6,1.7,6.9,698,61,Dinner,605
2024-04-28,4674,Chips,Snacks,139,7.0,73.1,3.1,3.9,10.0,768,275,Breakfast,428
2024-09-29,5748,Apple,Fruits,121,8.7,55.9,10.3,1.1,26.0,745,264,Lunch,159
2024-05-26,1158,Rice,Grains,287,2.2,91.8,31.5,9.1,26.9,592,250,Snack,334
2024-03-13,9406,Broccoli,Vegetables,541,6.7,87.7,4.4,0.8,41.8,187,104,Snack,211
2024-08-31,927,Pasta,Grains,593,17.9,53.9,9.9,2.1,33.4,980,243,Lunch,277
2024-10-28,4605,Broccoli,Vegetables,311,21.3,67.6,5.8,7.6,44.3,328,161,Dinner,265
2024-03-18,6829,Bread,Grains,587,20.4,84.3,36.7,5.6,36.2,321,31,Lunch,308
2024-07-18,1568,Grapes,Fruits,391,12.6,20.4,2.2,5.9,11.4,10,130,Lunch,861
2024-10-14,7753,Bread,Grains,79,10.0,89.4,12.9,7.7,29.8,164,212,Dinner,387
2024-09-02,6145,Grapes,Fruits,67,27.7,41.9,38.4,5.3,36.9,459,247,Snack,671
2024-10-22,6761,Cheese,Dairy,587,5.5,54.5,47.4,1.8,8.7,41,55,Dinner,633
2024-02-15,2403,Butter,Dairy,136,33.7,37.7,42.0,4.3,15.2,540,117,Snack,789
2024-07-06,7298,Banana,Fruits,561,45.4,56.8,31.8,8.2,35.5,318,93,Lunch,364
2024-05-02,5098,Orange,Fruits,447,9.0,40.7,34.6,7.8,40.1,905,36,Snack,261
2024-03-11,8591,Milkshake,Beverages,204,25.4,18.2,45.1,9.1,27.0,46,292,Lunch,444
2024-09-14,9235,Water,Beverages,570,39.6,83.5,16.8,8.0,44.6,602,159,Lunch,228
2024-07-24,5134,Apple,Fruits,521,18.6,46.2,36.0,3.6,27.6,613,127,Lunch,193
2024-12-07,5678,Quinoa,Grains,481,29.2,12.5,9.7,7.6,34.5,42,120,Dinner,251
2024-08-10,8608,Nuts,Snacks,369,38.2,16.8,4.1,6.9,4.1,70,165,Dinner,686
2024-10-08,4523,Yogurt,Dairy,568,2.3,11.8,16.2,5.0,22.7,90,213,Dinner,353
2024-11-29,1815,Yogurt,Dairy,172,6.9,25.7,29.1,7.2,45.5,509,198,Lunch,100
2024-11-28,7973,Spinach,Vegetables,201,41.0,12.7,47.1,0.8,19.1,115,220,Snack,558
2024-09-11,5713,Green Tea,Beverages,404,12.1,33.3,4.5,6.4,20.4,127,162,Breakfast,187
2024-01-03,4749,Chocolate,Snacks,531,20.0,12.3,30.3,9.9,38.1,194,138,Breakfast,906
2024-02-16,1425,Spinach,Vegetables,115,8.7,6.7,35.1,4.7,26.0,261,85,Lunch,538
2024-05-19,3316,Salmon,Meat,59,36.3,13.9,26.9,5.7,8.8,916,64,Breakfast,269
2024-12-31,9581,Popcorn,Snacks,481,38.6,36.8,12.2,8.1,22.2,263,125,Lunch,829
2024-10-16,4976,Milkshake,Beverages,328,6.8,85.3,17.0,8.1,40.8,607,171,Snack,182
2024-09-24,2450,Banana,Fruits,358,27.3,37.5,16.7,0.3,47.1,703,98,Lunch,811
2024-02-07,8291,Eggs,Meat,530,43.6,18.1,10.5,7.1,1.0,26,255,Lunch,629
2024-06-03,5027,Eggs,Meat,95,37.2,81.9,20.7,6.1,19.8,722,275,Snack,219
2024-07-28,6023,Chocolate,Snacks,384,7.1,96.4,40.0,6.5,20.2,734,1,Lunch,144
2024-02-28,135,Milkshake,Beverages,103,30.2,70.8,42.0,4.6,8.4,6,222,Breakfast,721
2024-07-13,9448,Carrot,Vegetables,289,14.0,52.9,17.1,2.9,6.5,53,98,Snack,839
2024-09-25,3872,Chocolate,Snacks,551,35.6,13.8,4.0,8.2,21.5,134,288,Snack,186
2024-03-02,6857,Oats,Grains,497,18.0,70.8,42.8,9.5,30.5,665,7,Snack,848
2024-01-14,8603,Milkshake,Beverages,414,22.0,67.8,8.4,2.2,2.2,648,159,Dinner,899
2024-11-30,3661,Spinach,Vegetables,205,1.1,10.5,28.1,6.4,21.8,937,44,Dinner,528
2024-09-03,354,Salmon,Meat,574,20.4,92.9,35.0,3.9,44.0,49,32,Breakfast,246
2024-12-12,8361,Nuts,Snacks,433,40.5,34.5,28.7,8.3,44.0,957,280,Dinner,802
2024-12-24,9896,Banana,Fruits,546,12.3,52.9,37.8,9.2,24.2,183,137,Breakfast,421
2024-11-01,4367,Water,Beverages,410,16.9,15.1,4.0,7.5,9.2,10,57,Breakfast,888
2024-11-21,6144,Apple,Fruits,79,18.1,74.7,19.7,0.2,46.6,270,36,Dinner,671
2024-05-20,2280,Tomato,Vegetables,500,18.8,10.5,18.6,7.9,2.5,966,282,Breakfast,894
2024-10-30,5505,Grapes,Fruits,425,25.3,83.8,7.4,8.6,25.1,206,48,Dinner,233
2024-01-07,2918,Cookies,Snacks,113,21.4,27.1,29.3,5.1,47.2,304,163,Breakfast,132
2024-05-05,6770,Chocolate,Snacks,185,2.4,71.1,34.1,3.1,41.3,250,121,Breakfast,875
2024-07-25,8288,Water,Beverages,559,26.3,63.2,33.1,4.1,5.6,502,154,Breakfast,880
2024-08-18,4842,Eggs,Meat,482,37.1,27.2,11.9,7.7,22.0,173,234,Breakfast,901
2024-05-14,7197,Cookies,Snacks,542,16.6,42.3,28.8,2.2,28.3,700,99,Snack,768
2024-10-24,4468,Carrot,Vegetables,300,9.5,61.5,19.0,10.0,3.2,829,190,Lunch,291
2024-05-23,9892,Butter,Dairy,485,26.2,34.1,17.9,0.7,12.5,399,286,Breakfast,804
2024-03-07,7561,Orange Juice,Beverages,71,6.7,90.0,31.2,2.6,22.0,372,22,Dinner,672
2024-02-08,4547,Potato,Vegetables,181,43.1,87.1,38.2,2.7,18.4,76,266,Breakfast,669
2024-12-08,666,Pork Chop,Meat,330,20.2,83.1,49.8,6.9,27.9,836,134,Snack,203
2024-09-16,5763,Chocolate,Snacks,249,11.4,13.3,28.6,1.7,1.7,535,269,Lunch,300
2024-07-16,5085,Spinach,Vegetables,224,41.5,78.3,24.6,6.9,17.7,70,126,Snack,189
2024-01-26,7802,Coffee,Beverages,246,15.1,97.7,27.5,2.1,28.2,367,261,Dinner,388
2024-01-27,2946,Beef Steak,Meat,499,26.9,25.2,26.7,7.1,21.0,645,40,Lunch,610
2024-06-07,8362,Paneer,Dairy,194,6.2,80.8,32.6,8.9,21.6,334,41,Dinner,297
2024-05-03,7385,Milk,Dairy,194,17.4,59.6,46.6,6.1,24.0,50,202,Lunch,323
2024-06-11,8857,Salmon,Meat,200,21.8,28.4,34.2,5.2,20.9,511,157,Dinner,393
2024-06-05,6740,Rice,Grains,244,10.6,74.4,34.2,0.1,41.5,668,170,Snack,570
2024-03-27,9554,Paneer,Dairy,185,22.3,10.4,17.3,6.9,1.7,993,121,Breakfast,567
2024-08-07,608,Strawberry,Fruits,219,25.9,65.9,17.3,7.3,14.9,576,290,Lunch,489
2024-09-08,9795,Salmon,Meat,403,8.8,78.3,5.7,4.9,38.6,60,239,Snack,913
2024-03-14,7195,Grapes,Fruits,214,10.9,86.3,2.6,1.4,40.3,977,177,Breakfast,603
2024-08-06,8405,Apple,Fruits,190,16.4,92.3,47.8,3.8,2.9,870,80,Breakfast,958
2024-10-10,4213,Cookies,Snacks,157,21.7,10.6,33.8,8.2,0.9,822,85,Breakfast,806
2024-05-20,8634,Milkshake,Beverages,550,49.2,88.3,12.2,0.1,32.3,69,1,Lunch,192
2024-02-17,564,Milkshake,Beverages,319,32.4,86.4,46.9,5.5,17.4,601,189,Snack,570
2024-12-23,7440,Popcorn,Snacks,68,45.2,73.9,13.9,0.5,28.8,275,242,Dinner,617
2024-12-21,2126,Banana,Fruits,519,5.9,45.5,41.7,7.8,9.0,319,283,Lunch,971
2024-03-05,4805,Carrot,Vegetables,570,39.2,35.6,13.0,4.3,0.6,539,59,Dinner,317
2024-07-21,7719,Cookies,Snacks,406,30.3,95.8,42.4,2.6,44.0,752,286,Breakfast,250
2024-03-22,8824,Orange Juice,Beverages,589,11.2,16.5,43.0,9.4,15.6,758,177,Dinner,449
2024-04-06,3063,Orange,Fruits,60,34.9,9.3,22.7,7.3,27.8,192,69,Breakfast,560
2024-05-06,6979,Green Tea,Beverages,532,16.0,25.4,40.8,4.5,49.4,505,191,Dinner,742
2024-11-21,1542,Apple,Fruits,458,36.9,94.6,5.7,7.6,29.9,498,246,Snack,612
2024-01-19,4791,Potato,Vegetables,377,49.9,42.9,33.6,7.7,15.7,108,35,Dinner,360
2024-04-28,2411,Pork Chop,Meat,563,9.5,18.2,16.6,6.7,25.6,108,174,Breakfast,615
2024-01-29,1483,Popcorn,Snacks,204,49.6,75.5,22.6,9.9,7.6,620,85,Breakfast,746
2024-01-13,136,Orange,Fruits,218,37.1,98.1,18.2,1.3,18.7,97,120,Dinner,557
2024-09-05,3508,Chocolate,Snacks,369,33.1,16.9,5.7,5.6,18.3,517,260,Lunch,548
2024-10-28,2064,Broccoli,Vegetables,463,44.9,6.3,33.4,6.7,26.5,987,170,Snack,263
2024-11-19,6632,Milk,Dairy,487,16.8,17.6,32.3,7.2,36.3,661,110,Breakfast,925
2024-05-27,7997,Chicken Breast,Meat,84,30.6,38.8,15.5,5.3,14.6,110,4,Lunch,874
2024-03-16,4995,Yogurt,Dairy,156,1.0,83.5,16.8,1.7,16.6,331,100,Snack,515
2024-04-17,4345,Nuts,Snacks,202,11.9,23.5,28.3,4.4,49.5,559,185,Snack,835
2024-12-26,8060,Cookies,Snacks,558,40.3,45.0,15.8,6.2,20.7,608,239,Dinner,971
2024-07-26,5455,Carrot,Vegetables,499,42.8,65.0,1.6,9.3,45.3,871,56,Lunch,688
2024-12-07,594,Coffee,Beverages,519,28.6,52.9,43.1,1.7,20.3,922,222,Dinner,825
2024-09-30,8378,Chips,Snacks,235,29.0,85.4,26.3,7.3,47.9,257,278,Snack,308
2024-06-05,7326,Butter,Dairy,295,34.1,27.1,42.6,7.8,49.9,178,239,Snack,172
2024-09-10,6472,Quinoa,Grains,323,25.0,94.3,31.2,5.3,13.3,447,32,Snack,350
2024-12-30,756,Chocolate,Snacks,245,46.1,9.8,48.3,3.2,19.3,0,221,Lunch,399
2024-03-04,446,Orange Juice,Beverages,407,15.5,86.6,31.3,0.7,26.4,782,16,Dinner,655
2024-06-16,9506,Chicken Breast,Meat,485,47.9,16.0,24.1,4.8,38.4,743,260,Breakfast,618
2024-12-05,5508,Oats,Grains,427,25.1,40.9,1.4,9.8,6.8,670,213,Breakfast,223
2024-06-02,6108,Salmon,Meat,277,15.7,8.9,45.6,6.4,34.1,617,101,Breakfast,260
2024-02-02,7154,Carrot,Vegetables,493,31.6,59.5,34.0,4.9,8.6,499,90,Breakfast,324
2024-07-05,192,Cookies,Snacks,338,5.4,99.3,23.2,5.2,32.1,733,27,Breakfast,150
2024-12-17,6219,Tomato,Vegetables,574,14.9,51.5,29.4,6.8,43.8,266,233,Dinner,563
2024-04-18,1544,Tomato,Vegetables,514,14.9,93.4,20.3,7.1,17.1,11,293,Lunch,160
2024-12-16,6700,Salmon,Meat,62,5.7,50.0,37.8,8.3,35.3,202,158,Snack,551
2024-02-13,5982,Apple,Fruits,196,7.7,23.9,26.9,5.6,26.3,647,184,Breakfast,820
2024-12-05,4232,Broccoli,Vegetables,92,45.0,37.3,17.3,9.5,36.5,169,296,Lunch,873
2024-05-14,3699,Chocolate,Snacks,326,47.2,71.9,9.2,6.0,19.6,758,2,Lunch,728
2024-07-20,3339,Apple,Fruits,417,46.8,31.9,27.1,7.6,40.3,583,135,Dinner,101
2024-01-26,690,Milkshake,Beverages,465,32.7,23.0,3.4,9.0,31.8,661,280,Snack,401
2024-02-14,8931,Quinoa,Grains,410,27.7,75.2,7.6,1.6,49.2,747,235,Dinner,104
2024-08-03,1306,Chicken Breast,Meat,165,31.6,68.0,30.3,0.8,23.4,626,87,Snack,732
2024-08-25,5562,Pork Chop,Meat,440,41.6,50.8,35.1,7.5,43.7,249,220,Breakfast,735
2024-10-04,7889,Milkshake,Beverages,501,10.5,84.7,30.9,9.7,19.5,419,138,Dinner,132
2024-10-15,7247,Pork Chop,Meat,337,38.0,87.7,42.0,5.2,37.3,806,3,Dinner,151
2024-06-20,3230,Cheese,Dairy,492,2.5,80.1,31.2,0.9,47.9,655,253,Breakfast,210
2024-02-12,4000,Green Tea,Beverages,159,45.1,40.7,36.0,9.6,22.8,938,20,Breakfast,105
